Area-0-Accuracy-Mean,Area-0-Accuracy-Std,Area-1-Accuracy-Mean,Area-1-Accuracy-Std,Area-2-Accuracy-Mean,Area-2-Accuracy-Std,Area-3-Accuracy-Mean,Area-3-Accuracy-Std
0.0742960426179604,0.1333237100958453,0.1144313728818491,0.2008154174222365,0.080896865646824,0.1430762755976547,0.1119712990936555,0.2005915427445912
0.0974124809741248,0.1735518601588491,0.1272220174528195,0.2209475514315032,0.1026493390422347,0.1794247147897383,0.1377454682779456,0.2397624192955608
0.1414573820395738,0.2454402608789099,0.1469333289685118,0.2557112630927171,0.1313329314931826,0.2297432293341957,0.1576661631419939,0.2736307346290862
0.1560121765601217,0.2709044120804476,0.1559149595364883,0.270716039521228,0.1493751039241769,0.2592022653309395,0.1709780966767371,0.2961939734182021
0.1601027397260274,0.2778310548926647,0.1615553798849627,0.2802213895560082,0.1621071666112404,0.2817278688893128,0.1687122356495468,0.2927074431156408
0.1618150684931507,0.2811525973913175,0.1677545377977373,0.2906588835878889,0.1616201779181909,0.2801122281602551,0.1755098187311178,0.3040910714608721
0.1606735159817351,0.2788494832142513,0.1657674326120061,0.2873208470698051,0.1707244554373129,0.2958514789093284,0.1797583081570997,0.3115048479655486
0.161910197869102,0.2814964875062087,0.1623506463168989,0.2815488100135128,0.1730615023279015,0.3000458843716175,0.1787197885196374,0.3096560304485268
0.1639079147640791,0.2842859074083613,0.1639401688054292,0.2841467853635468,0.1737859577652145,0.3012059726346265,0.1789086102719033,0.3100519724834097
0.1664764079147641,0.2885631979348848,0.1652917479008442,0.2866591511440966,0.1724168606584635,0.2988974996611289,0.1801359516616314,0.3124385555825391
0.1660007610350076,0.2880170486879638,0.1649732775929464,0.2860423184164538,0.1742701405054871,0.3021374360563152,0.1809856495468277,0.3136366108678169
0.1652397260273972,0.2867521783987517,0.1636220016101341,0.2837330058297164,0.1740263343864316,0.3015102491234023,0.1811744712990936,0.3141097238474844
0.1695205479452055,0.2937229745771967,0.1663230380127452,0.288467949410819,0.1744294562687063,0.3021723492904339,0.1818353474320241,0.3150596605932227
0.1657153729071537,0.2872031956160141,0.1644167628543992,0.285105073000216,0.1774104173594945,0.307370151742026,0.1788141993957704,0.3101190777244038
0.165810502283105,0.2874181825087861,0.1650522889447155,0.2861349911830095,0.1766041735949451,0.3059453948343942,0.180702416918429,0.3131832328094908
0.1643835616438356,0.2850657743138443,0.1658479595267886,0.2876157260550833,0.1742683737944795,0.30195470687782,0.1811744712990936,0.3139916543715058
0.1683789954337899,0.2918020379251359,0.1636223047227368,0.2837353527057993,0.1752344529431326,0.3035316352935774,0.180702416918429,0.3132706518742945
0.1678082191780821,0.290782354201668,0.1638610564161259,0.2842533221322002,0.1762017791819088,0.3052306991740588,0.1817409365558912,0.3149083654052668
0.1686643835616438,0.2922548920770093,0.165053400357592,0.2863360314999971,0.1742675424010641,0.3018529507867731,0.1811744712990936,0.3140497864300866
0.1671423135464231,0.2895956799512407,0.1653713654778186,0.2869525700591952,0.1754768041237113,0.3039867836189532,0.1797583081570997,0.3116627574661991
0.1688546423135464,0.2927238175527224,0.1652911416756388,0.2866028525595486,0.1740266461589624,0.3014743630890661,0.1819297583081571,0.3154315692870769
0.1659056316590563,0.2876505956051717,0.1637809336514803,0.2840385193407565,0.1733823162620552,0.3003718210969462,0.1813632930513595,0.314397899449912
0.1684741248097412,0.2920980445204829,0.1640996060344465,0.2846970814219747,0.1758794063851014,0.3047075776215942,0.1818353474320241,0.3151230264924176
0.1670471841704718,0.2898686838415143,0.1644961783563052,0.2853502534439089,0.1749129115397406,0.3030905378793407,0.1813632930513595,0.3143892807064029
0.1665715372907153,0.2889127698610096,0.1636226078353395,0.2837942302030716,0.1738660833056202,0.3013312065839325,0.1813632930513595,0.3142953664498606
0.1679984779299847,0.2913764801027684,0.1638621678290024,0.2843271482913271,0.1747525565347522,0.3028045502226376,0.18202416918429,0.3154288706522016
0.1670471841704718,0.2897962452077462,0.1625901052730276,0.282072015763642,0.1741884561024276,0.301810409840706,0.1808912386706948,0.3135917189648066
0.1677130898021309,0.2908773061149476,0.1627492393894423,0.28232635059152,0.1739471441636182,0.3014410377247632,0.1822129909365559,0.3158305013380323
0.1679033485540335,0.2911387731915779,0.162430971156613,0.2817850508097991,0.1733834594280013,0.3004961836617008,0.1821185800604229,0.3156828509065271
0.1675228310502283,0.2904016595845024,0.1624317794568869,0.2817644396421949,0.1732221691054207,0.300200862972407,0.1803247734138972,0.3124944094570259
0.1583904109589041,0.2743773798006459,0.1458206026040201,0.252390499292121,0.168387720319255,0.2907163085559465,0.1685236995580257,0.2922183057654364
0.160828101217656,0.1998510944067152,0.1533888191056319,0.1962767566004454,0.1918916278683072,0.2168189340815658,0.1969140926729161,0.2504486964501859
0.1851024787003007,0.221814058046395,0.1897189863267925,0.2248099377509192,0.2254256734286664,0.2477939252805387,0.2217674344465723,0.2653450109208667
0.19940219308015,0.2183317931599158,0.2037947272956536,0.2238957783923801,0.237680412371134,0.2520476352091459,0.2523109954248576,0.2704825574511201
0.2092167604039054,0.2215829453793771,0.217392762802668,0.2287944165142894,0.2585676130695045,0.264414605066639,0.2703728958229543,0.2790783883927227
0.2374195750733192,0.2404112253736289,0.2330605521984151,0.2374999675355947,0.2673637554040571,0.2694795684663978,0.2907970677495874,0.2939477188222843
0.2530432699446857,0.2534799094446281,0.2396612332722258,0.2412650649613504,0.27824783837712,0.2798988654092679,0.3012031173585751,0.3019251882151455
0.2563832391320488,0.2580041858738319,0.251747848304671,0.2522421608288984,0.2797049592617226,0.2806775446892227,0.3031897450077929,0.3036901821024059
0.2631487359394142,0.2644671213199561,0.2527818664299963,0.2531454494328906,0.2820446042567343,0.2825419560272345,0.3061277657673304,0.3066863731584829
0.2671512754297063,0.2693626927903773,0.2542956107678529,0.2549230397045058,0.2847077652144995,0.2856577703270823,0.3132145803529396,0.3137915213688864
0.2662922107602925,0.2680131307986223,0.2569181410063662,0.2573184175804348,0.2876065222813435,0.2882365832182654,0.311603025261551,0.3120240336615925
0.2724806956973679,0.2738642528147768,0.2581873745113825,0.2586033923758157,0.2863193174260059,0.2871354569061408,0.3168081925216303,0.3177204628484436
