Area-0-Accuracy,Area-1-Accuracy,Area-2-Accuracy,Area-3-Accuracy
0.0,0.0,0.2471042471042471,0.0
0.0,0.0,0.5225225225225225,0.0
0.0,0.0,0.6576576576576577,0.0
0.0,0.0,0.6756756756756757,0.0
0.0,0.0,0.7348777348777349,0.0
0.0,0.0,0.7194337194337195,0.0
0.0,0.0,0.7323037323037324,0.0
0.0,0.0,0.7400257400257401,0.0
0.0,0.0,0.7438867438867439,0.0
0.0,0.0,0.7696267696267697,0.0
0.0,0.0,0.752895752895753,0.0
0.0,0.0,0.7387387387387387,0.0
0.0,0.0,0.7812097812097812,0.0
0.0,0.0,0.7516087516087516,0.0
0.0,0.0,0.749034749034749,0.0
0.0,0.0,0.7786357786357786,0.0
0.0,0.0,0.7734877734877735,0.0
0.0,0.0,0.7593307593307593,0.0
0.0,0.0,0.7773487773487774,0.0
0.0,0.0,0.7722007722007722,0.0
0.0,0.0,0.7696267696267697,0.0
0.0,0.0,0.7837837837837838,0.0
0.0,0.0,0.7683397683397684,0.0
0.0,0.0,0.7683397683397684,0.0
0.0,0.0,0.7709137709137709,0.0
0.0,0.0,0.7915057915057915,0.0
0.0,0.0,0.7606177606177607,0.0
0.0,0.0,0.767052767052767,0.0
0.0,0.0,0.788931788931789,0.0
0.0,0.0,0.7631917631917632,0.0
0.0,0.0,0.7644787644787645,0.0
0.0,0.0,0.6254826254826255,0.1417797888386123
0.0,0.0,0.1106821106821106,0.4193061840120664
0.0,0.0,0.0514800514800514,0.4796380090497738
0.0,0.0,0.0205920205920205,0.4509803921568627
0.0,0.0,0.0051480051480051,0.6229260935143288
0.0,0.0,0.0308880308880308,0.6500754147812972
0.0,0.0,0.0038610038610038,0.693815987933635
0.0,0.0,0.0,0.7134238310708899
0.0,0.0,0.0437580437580437,0.6892911010558069
0.0,0.0,0.0025740025740025,0.693815987933635
0.0,0.0,0.0,0.6907993966817496
0.0,0.0,0.0733590733590733,0.7300150829562594
0.0,0.0,0.009009009009009,0.7013574660633484
0.0,0.0,0.0012870012870012,0.7209653092006033
0.0,0.0,0.0,0.6847662141779789
0.0,0.0,0.0,0.693815987933635
0.0,0.0,0.0,0.7285067873303167
0.0,0.0,0.0,0.7164404223227753
0.0,0.0,0.0,0.7073906485671192
0.0,0.0,0.0,0.7164404223227753
0.0,0.0,0.0,0.7119155354449472
0.0,0.0,0.0,0.7420814479638009
0.0,0.0,0.0,0.698340874811463
0.0,0.0,0.0,0.7043740573152338
0.0,0.0,0.0,0.7149321266968326
0.0,0.0,0.0,0.7315233785822021
0.0,0.0,0.0,0.7164404223227753
0.0,0.0,0.0,0.722473604826546
0.0,0.0,0.0,0.746606334841629
0.0,0.0,0.0,0.702865761689291
0.120845921450151,0.0,0.0,0.5761689291101055
0.1722054380664652,0.0,0.0,0.1312217194570135
0.5891238670694864,0.0,0.0,0.0015082956259426
0.6314199395770392,0.0,0.0,0.0
0.649546827794562,0.0,0.0,0.0
0.7009063444108762,0.0,0.0,0.0
0.7220543806646526,0.0,0.0,0.0
0.7326283987915407,0.0,0.0,0.0
0.7643504531722054,0.0,0.0,0.0
0.7643504531722054,0.0,0.0,0.0
0.7719033232628398,0.0,0.0,0.0
0.770392749244713,0.0,0.0,0.0
0.7734138972809668,0.0,0.0,0.0
0.7507552870090635,0.0,0.0,0.0
0.7658610271903323,0.0,0.0,0.0
0.7265861027190332,0.0,0.0,0.0
0.756797583081571,0.0,0.0,0.0
0.7749244712990937,0.0,0.0,0.0
0.7492447129909365,0.0,0.0,0.0
0.756797583081571,0.0,0.0,0.0
0.7507552870090635,0.0,0.0,0.0
0.756797583081571,0.0,0.0,0.0
0.7628398791540786,0.0,0.0,0.0
0.7824773413897281,0.0,0.0,0.0
0.7492447129909365,0.0,0.0,0.0
0.7673716012084593,0.0,0.0,0.0
0.7734138972809668,0.0,0.0,0.0
0.7824773413897281,0.0,0.0,0.0
0.7522658610271903,0.0,0.0,0.0
0.7009063444108762,0.0025773195876288,0.0,0.0
0.4652567975830816,0.1997422680412371,0.0,0.0
0.1027190332326284,0.2487113402061855,0.0,0.0
0.0030211480362537,0.5940721649484536,0.0,0.0
0.0015105740181268,0.6533505154639175,0.0,0.0
0.0,0.6713917525773195,0.0,0.0
0.0,0.7126288659793815,0.0,0.0
0.0,0.7371134020618557,0.0,0.0
0.0,0.7538659793814433,0.0,0.0
0.0,0.759020618556701,0.0,0.0
0.0,0.7615979381443299,0.0,0.0
0.0,0.7603092783505154,0.0,0.0
0.0,0.7615979381443299,0.0,0.0
0.0,0.7603092783505154,0.0,0.0
0.0,0.7615979381443299,0.0,0.0
0.0,0.7719072164948454,0.0,0.0
0.0,0.7719072164948454,0.0,0.0
0.0,0.7693298969072165,0.0,0.0
0.0,0.7654639175257731,0.0,0.0
0.0,0.7719072164948454,0.0,0.0
0.0,0.7628865979381443,0.0,0.0
0.0,0.7680412371134021,0.0,0.0
0.0,0.7654639175257731,0.0,0.0
0.0,0.7693298969072165,0.0,0.0
0.0,0.7641752577319587,0.0,0.0
0.0,0.770618556701031,0.0,0.0
0.0,0.7603092783505154,0.0,0.0
0.0,0.7538659793814433,0.0,0.0
0.0,0.7667525773195877,0.0,0.0
0.0,0.75,0.0,0.0
