Area-0-Accuracy-Mean,Area-0-Accuracy-Std,Area-1-Accuracy-Mean,Area-1-Accuracy-Std,Area-2-Accuracy-Mean,Area-2-Accuracy-Std,Area-3-Accuracy-Mean,Area-3-Accuracy-Std
0.1021398944193061,0.1816654989121104,0.1133272786987173,0.197880070923644,0.1042998721227621,0.1809152056555805,0.101998491704374,0.1805234189464049
0.12382520403002,0.2154329312272421,0.1324753218274383,0.2299848117428773,0.1421835038363171,0.2469546774174501,0.1488499245852187,0.2602185464573597
0.1485337976696604,0.2582161999320537,0.1420142962918392,0.2461280093143938,0.1575287723785166,0.2730217281539601,0.1586538461538461,0.2761382109891049
0.162017749814311,0.2808330426106607,0.1569679693532697,0.2721856616420664,0.1641624040920716,0.2844183084856356,0.1666666666666666,0.2893019530314304
0.1655056834493034,0.2868002733554873,0.1604448923787652,0.2780860034437602,0.1653612531969309,0.2867302107225499,0.1715686274509804,0.2974482209195839
0.1722005964830738,0.2984338333332466,0.1594748555077536,0.276482789444351,0.167599104859335,0.2903585912755322,0.172605580693816,0.2991980911053129
0.1784208919449723,0.3091543264293404,0.1610113914043409,0.27937995247659,0.1703964194373401,0.2953336159032111,0.1791101055806938,0.3103501512964194
0.1753131650057187,0.303780583005371,0.1614158694104315,0.2800140228191625,0.1730338874680306,0.2997066815334602,0.1762820512820513,0.3054870600786194
0.1791785997457314,0.3104067053930811,0.1625463603665038,0.2817657018312925,0.1726342710997442,0.2990226080365056,0.1783559577677224,0.3090692893365437
0.1829509052052148,0.3169172382579922,0.1657799907070342,0.287650326674402,0.176710358056266,0.3060888069957012,0.1840120663650075,0.3187664248405806
0.1863452823611434,0.32284030762601,0.1659425340379942,0.2880508714514226,0.1771099744245524,0.306795789793307,0.1813725490196078,0.3141740777829805
0.1814413279836684,0.3143513952297063,0.1640016245976112,0.2844009714915113,0.1763906649616368,0.3055387935640911,0.1815610859728506,0.3144755123232381
0.1859679236556347,0.3221949171953881,0.166993111338421,0.2897208338685802,0.1813459079283887,0.3141242005264558,0.1871229260935143,0.3241850970998291
0.1871949802463397,0.3243136700346963,0.1672350460135516,0.2900698722778483,0.1783088235294117,0.3089310575503849,0.1833521870286576,0.3176148683795696
0.1847408670649296,0.3201308895115856,0.1671539832726616,0.2900451791952032,0.1765505115089514,0.3058300069875763,0.1833521870286576,0.3176045719415064
0.1850246692913744,0.3204943449537859,0.1676396284819372,0.29070550175925,0.1820652173913043,0.3154166906645025,0.1892911010558069,0.3278778499484978
0.189364721603259,0.3282055416623828,0.1702262193674766,0.2953223967479133,0.1810262148337595,0.3136122349353137,0.1891025641025641,0.327541543331057
0.1869111780198949,0.3239711839151676,0.1693364095389953,0.2939519650110115,0.1790281329923273,0.3101184508147759,0.1859917043740573,0.3222258007836545
0.1918147051988352,0.3322687101984221,0.1706298616752075,0.2961821827440479,0.1835038363171355,0.317870122163548,0.1910822021116138,0.3310510129290105
0.1905890726032453,0.3302217012484731,0.1702256970560018,0.2952155568352681,0.1824648337595908,0.316089252084556,0.1890082956259426,0.327379951638969
0.1877598791085107,0.3252533898273972,0.1682048739599734,0.2920291365561894,0.180866368286445,0.3133024846998354,0.1875942684766214,0.3249869056162189
