Area-0-Accuracy,Area-1-Accuracy,Area-2-Accuracy,Area-3-Accuracy
0.0,0.0,0.0,0.4326347305389221
0.0,0.0,0.0,0.4835329341317365
0.0,0.0,0.0,0.6167664670658682
0.0,0.0,0.0,0.6856287425149701
0.0,0.0,0.0,0.6661676646706587
0.0,0.0,0.0,0.6826347305389222
0.0,0.0,0.0,0.6811377245508982
0.0,0.0,0.0,0.7020958083832335
0.0,0.0,0.0,0.655688622754491
0.0,0.0,0.0,0.6931137724550899
0.0,0.0,0.0,0.6751497005988024
0.0,0.0,0.0,0.6751497005988024
0.0,0.0,0.0,0.7110778443113772
0.0,0.0,0.0,0.6946107784431138
0.0,0.0,0.0,0.7005988023952096
0.0,0.0,0.0,0.7050898203592815
0.0,0.0,0.0,0.7020958083832335
0.0,0.0,0.0,0.7110778443113772
0.0,0.0,0.0,0.6841317365269461
0.0,0.0,0.0,0.6946107784431138
0.0,0.0,0.0,0.6976047904191617
0.0,0.0,0.0,0.6961077844311377
0.0,0.0,0.0,0.6916167664670658
0.0,0.0,0.0,0.6841317365269461
0.0,0.0,0.0,0.6781437125748503
0.0,0.0,0.0,0.6676646706586826
0.0,0.0,0.0,0.7020958083832335
0.0,0.0,0.0,0.7020958083832335
0.0,0.0,0.0,0.7005988023952096
0.0,0.0,0.0,0.6991017964071856
0.0,0.0,0.0,0.6631736526946108
0.069172932330827,0.0,0.0,0.6706586826347305
0.1834586466165413,0.0,0.0,0.468562874251497
0.2105263157894736,0.0,0.0,0.1287425149700598
0.3684210526315789,0.0,0.0,0.092814371257485
0.3669172932330827,0.0,0.0,0.0523952095808383
0.4015037593984962,0.0,0.0,0.0239520958083832
0.4180451127819549,0.0,0.0,0.0074850299401197
0.4736842105263157,0.0,0.0,0.0029940119760479
0.4872180451127819,0.0,0.0,0.0
0.5037593984962406,0.0,0.0,0.0
0.5428571428571428,0.0,0.0,0.0
0.518796992481203,0.0,0.0,0.0
0.5684210526315789,0.0,0.0,0.0
0.5548872180451128,0.0,0.0,0.0
0.5548872180451128,0.0,0.0,0.0
0.5639097744360902,0.0,0.0,0.0
0.5759398496240602,0.0,0.0,0.0
0.5654135338345865,0.0,0.0,0.0
0.5909774436090226,0.0,0.0,0.0
0.5699248120300752,0.0,0.0,0.0
0.5744360902255639,0.0,0.0,0.0
0.5759398496240602,0.0,0.0,0.0
0.5729323308270676,0.0,0.0,0.0
0.5834586466165413,0.0,0.0,0.0
0.5849624060150376,0.0,0.0,0.0
0.5759398496240602,0.0,0.0,0.0
0.58796992481203,0.0,0.0,0.0
0.5699248120300752,0.0,0.0,0.0
0.58796992481203,0.0,0.0,0.0
0.5804511278195489,0.0,0.0,0.0
0.5609022556390978,0.0270967741935483,0.0,0.0
0.2721804511278195,0.16,0.0,0.0
0.0390977443609022,0.2645161290322581,0.0,0.0
0.0075187969924812,0.52,0.0,0.0
0.0,0.5703225806451613,0.0,0.0
0.0,0.6064516129032258,0.0,0.0
0.0,0.64,0.0,0.0
0.0,0.6283870967741936,0.0,0.0
0.0,0.6541935483870968,0.0,0.0
0.0,0.6748387096774193,0.0,0.0
0.0,0.672258064516129,0.0,0.0
0.0,0.687741935483871,0.0,0.0
0.0,0.6748387096774193,0.0,0.0
0.0,0.6761290322580645,0.0,0.0
0.0,0.68,0.0,0.0
0.0,0.68,0.0,0.0
0.0,0.6980645161290323,0.0,0.0
0.0,0.6903225806451613,0.0,0.0
0.0,0.6980645161290323,0.0,0.0
0.0,0.6929032258064516,0.0,0.0
0.0,0.6929032258064516,0.0,0.0
0.0,0.6851612903225807,0.0,0.0
0.0,0.6838709677419355,0.0,0.0
0.0,0.6890322580645162,0.0,0.0
0.0,0.6903225806451613,0.0,0.0
0.0,0.6941935483870968,0.0,0.0
0.0,0.6864516129032258,0.0,0.0
0.0,0.6890322580645162,0.0,0.0
0.0,0.7006451612903226,0.0,0.0
0.0,0.68,0.0,0.0
0.0,0.6683870967741935,0.0272727272727272,0.0
0.0,0.4761290322580645,0.1311688311688311,0.0
0.0,0.3458064516129032,0.4298701298701298,0.0
0.0,0.2077419354838709,0.4701298701298701,0.0
0.0,0.1006451612903225,0.5558441558441558,0.0
0.0,0.0464516129032258,0.5987012987012987,0.0
0.0,0.0154838709677419,0.6194805194805195,0.0
0.0,0.0,0.6688311688311688,0.0
0.0,0.0,0.6974025974025974,0.0
0.0,0.0,0.6753246753246753,0.0
0.0,0.0,0.7103896103896103,0.0
0.0,0.0,0.7051948051948052,0.0
0.0,0.0,0.7038961038961039,0.0
0.0,0.0,0.7,0.0
0.0,0.0,0.7259740259740259,0.0
0.0,0.0,0.7194805194805195,0.0
0.0,0.0,0.7259740259740259,0.0
0.0,0.0,0.7025974025974026,0.0
0.0,0.0,0.7168831168831169,0.0
0.0,0.0,0.7103896103896103,0.0
0.0,0.0,0.7181818181818181,0.0
0.0,0.0,0.7285714285714285,0.0
0.0,0.0,0.7155844155844155,0.0
0.0,0.0,0.7194805194805195,0.0
0.0,0.0,0.7077922077922078,0.0
0.0,0.0,0.7246753246753247,0.0
0.0,0.0,0.7350649350649351,0.0
0.0,0.0,0.7116883116883117,0.0
0.0,0.0,0.7090909090909091,0.0
